Product_Name,Price,Discount,Category
Aroma Oil Festive Box,1500,252,personal care
Walk in the Wood Aroma Oil,720,12,personal care
"Stretch Mark Toning Butter - Coconut & Haldi, Ayurvedic, Enhances Skin Elasticity",749,0,personal care
"Stretch Mark Cream - Pure, Gentle & Safe, Moisturises Skin, Reduces Itching",518,0,personal care
"Mini Mother Care Kit - Stretch Mark Cream, 30 g & Methi Hair Oil 30 ml, Paraben & Toxin Free",198,0,personal care
Stretch Marks Skin Bio Therapy Oil - For All Skin Types,350,0,personal care
"Waist Girdle, Small",765,0,personal care
"Soothing Nipple Butter Cream - No Chemicals, Vegan, For Breast Feeding Moms",449,0,personal care
MSK BB 434 Fragrance Oil - Musk,35,0,personal care
Fragrance-Scented Oil - Sandalwood SNDLWD BB 434,35,0,personal care
"Mother Baby Care Combo - Stretch Marks Cream, Methi Seed Hair Oil & Baby Massage Oil",297,0,personal care
"Stretch Mark Cream, 30 g & Baby Massage Oil, 30 ml - Pure, Gentle & Safe, No Parabens",198,0,personal care
"Stretch Mark Serum - Evens Out Skin Tones, For Pregnancy Stretch Marks & Scars",549,0,personal care
Retone Nipple Depigmenting Serum - Cherry Blossom & Coconut Oil,599,0,personal care
"Natural Anti-Cellulite Toning Body Oil - Coffee, Turmeric & Ginger Oil, Tightens, Firms, Tones Skin",278,0,personal care
"Mini Mother Baby Care Combo - Baby Massage Oil & Methi Hair Oil, Paraben & Toxin Free",198,0,personal care
"Release Breast Destressing Oil - With Lavender & Rosehip Oil, Relaxes",249,0,personal care
Aroma Oil - Soulgreen,800,0,personal care
ROSE BB 434 Fragrance Oil - Rose,35,0,personal care
"Liquid Disinfectant for Floor Cleaner, Surface Disinfection, Personal Hygiene - Lavender Blossom",1087,0,personal care
Frozen Mutton - Keema,480,20,meat
Chicken Meatballs,365,25,meat
Mutton - Mince,488,23,meat
Mutton - Boneless,524,6,meat
Premium Mutton Mince,540,34,meat
Mutton - Sheekh Kabab,375,40,meat
Mutton Mince,549,40,meat
